# PcbXY Version 1.0
# Date: Sun 28 Jul 2013 22:21:57 GMT UTC
# Author: Richard Barlow
# Title: Power Board - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mm.  rotation in degrees.
# --------------------------------------------
J303,"battcon","sr-cn-battcon",143.60,13.30,180,bottom
C202,"sr_0603","sr-c-10n",52.20,89.86,90,top
R242,"sr_0603","sr-r-330",123.70,41.90,90,top
R210,"sr_0603","sr-r-100k",27.20,44.10,180,top
C207,"sr_0603","sr-c-100n",92.20,77.44,270,top
R205,"sr_0603","sr-r-160k",11.14,30.10,180,top
C101,"0805","sr-c-2u2-0805",37.70,75.00,0,top
U103,"beagleboard","sr-asm-beagleboard",79.83,26.49,0,bottom
R216,"sr_0603","sr-r-10k",40.60,30.00,270,top
R311,"sr_0603","sr-r-13k3",108.30,71.36,270,top
R209,"sr_0603","sr-r-330",6.70,53.94,90,top
R310,"sr_0603","sr-r-1k",150.54,30.30,0,top
U201,"TQFP64_10","sr-ic-msp430f167",88.87,68.45,180,top
R224,"sr_0603","sr-r-10k",58.70,29.94,270,top
J304,"camcon2","sr-cn-camcon2w",79.85,8.85,180,bottom
J302,"camcon2","sr-cn-camcon2w",61.85,8.85,180,bottom
U203,"TSSOP8","sr-ic-txs0102",46.85,30.03,90,top
R306,"sr_0603","sr-r-330",114.44,40.10,180,top
R218,"sr_0603","sr-r-330",9.70,47.46,270,top
R237,"sr_0603","sr-r-10k",71.00,64.40,90,top
C213,"sr_0603","sr-c-10n",72.46,81.90,180,top
J101,"fpc40-1.fp","sr-cn-fpc40-0.5mm-bottom",44.35,68.77,90,top
Q100,"SOT23","sr-fet-p-pmv65xp",59.91,69.99,270,top
LED203,"PLCC2","sr-led-red-plcc2",158.50,61.60,0,top
C208,"0805","sr-c-10u-0805",90.40,77.90,270,top
Q200,"SOT323","sr-fet-n-sn7002w",76.41,90.81,90,top
C304,"sr_0603","sr-c-470n",138.30,43.40,180,bottom
Q300,"D_PAK","sr-fet-n-irlr8743",132.85,16.54,0,top
R302,"sr_0603","sr-r-15k-0.1",95.26,60.50,180,top
R243,"sr_0603","sr-r-330",37.40,12.80,180,top
R227,"sr_0603","sr-r-330",42.70,12.80,180,top
R318,"sr_0603","sr-r-10k",123.30,25.44,270,top
R307,"sr_0603","sr-r-100k",112.40,40.74,270,top
R317,"sr_0603","sr-r-100k",117.60,35.06,90,top
C100,"0805","sr-c-1u-0805",27.70,74.70,0,top
R217,"sr_0603","sr-r-10k",37.54,32.50,180,top
LED205,"sr_0603_led","sr-led-red-0603",7.86,60.00,0,top
R240,"sr_0603","sr-r-330",5.20,59.94,90,top
L100,"1008","sr-l-22u",33.30,77.60,180,top
C305,"sr_0603","sr-c-470n",107.30,74.06,90,top
R322,"sr_0603","sr-r-330",105.50,74.06,270,top
C303,"sr_0603","sr-c-470n",139.09,34.80,180,top
J300,"camcon2","sr-cn-camcon2w",43.85,8.85,180,bottom
J305,"camcon2","sr-cn-camcon2w",97.85,8.85,180,bottom
C216,"sr_0603","sr-c-10n",75.10,77.44,270,top
J306,"header2_156_ra","sr-cn-header2-5a-ra",135.40,55.05,0,bottom
R244,"sr_0603","sr-r-10k",68.80,78.34,90,top
R233,"sr_0603","sr-r-10k",70.20,82.76,270,top
